window_start,window_minutes,bot,side,opened_at,hold_seconds,exit,won,outcome,would_have_won
2026-08-29T04:05:00+00:00,5,R1,DOWN,2026-08-29T04:05:57.218434+00:00,,not-closed,,DOWN,1
2026-08-29T04:05:00+00:00,5,R3,DOWN,2026-08-29T04:05:57.218434+00:00,,not-closed,,DOWN,1
2026-08-29T04:05:00+00:00,5,R1,DOWN,2026-08-29T04:06:35.405622+00:00,,not-closed,,DOWN,1
2026-08-29T04:05:00+00:00,5,R1,UP,2026-08-29T04:07:27.482938+00:00,,not-closed,,DOWN,0
2026-08-29T04:05:00+00:00,5,R1,DOWN,2026-08-29T04:08:05.654169+00:00,,not-closed,,DOWN,1
2026-08-29T04:00:00+00:00,15,R1,UP,2026-08-29T04:08:43.925266+00:00,,not-closed,,UP,1
2026-08-29T04:00:00+00:00,15,R1,UP,2026-08-29T04:09:22.463594+00:00,,not-closed,,UP,1
2026-08-29T04:10:00+00:00,5,R1,DOWN,2026-08-29T04:10:34.063690+00:00,21,stop,0,UP,0
2026-08-29T04:15:00+00:00,5,R1,UP,2026-08-29T04:15:34.412375+00:00,14,target,1,UP,1
2026-08-29T04:15:00+00:00,5,R3,UP,2026-08-29T04:17:17.058202+00:00,7,target,1,UP,1
2026-08-29T04:15:00+00:00,15,R3,DOWN,2026-08-29T04:17:23.887120+00:00,48,stop,0,UP,0
2026-08-29T04:15:00+00:00,5,R3,DOWN,2026-08-29T04:17:30.707482+00:00,41,stop,0,UP,0
2026-08-29T04:20:00+00:00,5,R1,DOWN,2026-08-29T04:20:35.293851+00:00,7,stop,0,UP,0
2026-08-29T04:15:00+00:00,15,R1,UP,2026-08-29T04:21:50.278529+00:00,20,target,1,UP,1
2026-08-29T04:25:00+00:00,5,R1,UP,2026-08-29T04:26:03.187602+00:00,7,target,1,DOWN,0
2026-08-29T04:25:00+00:00,5,R3,UP,2026-08-29T04:26:03.187602+00:00,7,target,1,DOWN,0
2026-08-29T04:25:00+00:00,5,R3,DOWN,2026-08-29T04:26:30.503572+00:00,55,stop,0,DOWN,1
2026-08-29T04:30:00+00:00,5,R1,DOWN,2026-08-29T04:30:36.789189+00:00,7,stop,0,DOWN,1
2026-08-29T04:30:00+00:00,15,R1,UP,2026-08-29T04:31:45.331574+00:00,89,stop,0,UP,1
2026-08-29T04:30:00+00:00,15,R3,UP,2026-08-29T04:35:10.648090+00:00,20,target,1,UP,1
2026-08-29T04:35:00+00:00,5,R1,DOWN,2026-08-29T04:35:31.117108+00:00,14,stop,0,UP,0
2026-08-29T04:30:00+00:00,15,R3,UP,2026-08-29T04:37:20.462646+00:00,7,target,1,UP,1
2026-08-29T04:40:00+00:00,5,R1,DOWN,2026-08-29T04:40:31.710478+00:00,48,stop,0,DOWN,1
2026-08-29T04:45:00+00:00,5,R1,DOWN,2026-08-29T04:45:32.917211+00:00,95,target,1,UP,0
2026-08-29T04:45:00+00:00,5,R3,UP,2026-08-29T04:47:08.365569+00:00,14,stop,0,UP,1
2026-08-29T04:45:00+00:00,15,R1,DOWN,2026-08-29T04:48:09.819977+00:00,75,stop,0,UP,0
2026-08-29T04:45:00+00:00,15,R3,DOWN,2026-08-29T04:50:33.180167+00:00,68,stop,0,UP,0
2026-08-29T04:50:00+00:00,5,R1,DOWN,2026-08-29T04:51:48.544919+00:00,14,stop,0,UP,0
2026-08-29T04:45:00+00:00,15,R3,DOWN,2026-08-29T04:53:31.092389+00:00,20,stop,0,UP,0
2026-08-29T04:55:00+00:00,5,R1,DOWN,2026-08-29T04:55:34.045724+00:00,34,target,1,DOWN,1
2026-08-29T05:00:00+00:00,15,R1,DOWN,2026-08-29T05:01:30.606434+00:00,20,stop,0,UP,0
2026-08-29T05:00:00+00:00,5,R1,UP,2026-08-29T05:01:51.046477+00:00,7,stop,0,UP,1
2026-08-29T05:05:00+00:00,5,R1,UP,2026-08-29T05:06:03.780158+00:00,7,stop,0,UP,1
2026-08-29T05:05:00+00:00,5,R3,DOWN,2026-08-29T05:06:51.559914+00:00,14,target,1,UP,0
2026-08-29T05:00:00+00:00,15,R3,DOWN,2026-08-29T05:06:51.559914+00:00,14,target,1,UP,0
2026-08-29T05:00:00+00:00,15,R3,DOWN,2026-08-29T05:07:52.991077+00:00,14,stop,0,UP,0
2026-08-29T05:10:00+00:00,5,R1,DOWN,2026-08-29T05:11:17.934195+00:00,7,target,1,UP,0
2026-08-29T05:10:00+00:00,5,R3,UP,2026-08-29T05:11:24.759114+00:00,20,target,1,UP,1
2026-08-29T05:15:00+00:00,5,R1,UP,2026-08-29T05:15:31.362973+00:00,7,target,1,DOWN,0
2026-08-29T05:15:00+00:00,5,R3,UP,2026-08-29T05:15:51.795347+00:00,7,target,1,DOWN,0
